OBJECTID,GEOID_20,Land Acres,Water Acres,Census Tract Number,Census Block Group,Census Tract and Block Group,Block Group Name,Census Tract Label,Council District,Comprehensive Plan Growth Area,Comprehensive Plan Area Name,ACS Vinatage,Total Population,Children under 5,Children under 18,Older Adults 65 and over,Median Age,Male,Female,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some Other Race alone,Not Hispanic or Latino Two or more races,Hispanic or Latino (of any race),People of Color,Total Households,Family Households (families),Nonfamily Households,Householder Living Alone,Less than a high school education,Bachelor degree or higher,Workers 16 years and over,Worked from home,Car truck or van - drove alone,Public Transportation (excluding taxicab),No Vehicles Available,Travel Time <15 Minutes,Travel Time 15-29 Minutes,Travel Time 30-44 Minutes,Travel Time 45-59 Minutes,Travel Time 60-89 Minutes,Travel Time 90+ Minutes,Total Housing Units,1-unit detached,Low Density Housing (1-unit att - 4 units),Medium Density Housing (5-49 units),High Density Housing (50+ units),Overcrowded Units (>1 occupants/room),No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,Population 18 years and Over,Population 18 years and Over with a Disability,Population Civilian Noninstitutionalized,Population without Health Insurance,Population 5 years and Over,Population Speaks a Language Other than English,Population Speaks English Less than Very Well,Households with Limited English,Spanish Limited English Speaking Households,Other Indo-European Languages Limited English Speaking Households,Asian and Pacific Island Languages Limited English Speaking Households,Other Languages Limited English Speaking Households,Owner Households,Renter Households,Gross Rent 30% or more of Household Income,Owner housing units with a mortgage where selected monthly onwer costs as a percentage of household income can be computed,Monthly Costs 30% or more of Household Income (owners with a mortgage),Population 25 years and Over,Household Population,Family Household Population,Owner Household Population,Renter Household Population,Meidan Gross Rent,Median Selected Monthly Owner Costs for Households with a Mortgage,Per Capita Income,Median Household Income,Median Earnings Males Worked full-time year-round,Median Earnings Females Worked full-time year-round,"Household Income $100,000 or more","Family Household Income $100,000 or more","Nonfamily Household Income $100,000 or more",Median Family Household Income,Median Nonfamily Household Income,Median Earnings All Workers,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Households with People under 18 years,Households with People 65 years and over,Working Age Adults to 64 Years,Group Quarters Population,Population 16 years and over,Population 16 years and over not in labor force,Population 16 years and over in civilian labor force,Population 16 years and over in civilian labor force unemployed,Population for whom poverty status is determined,People with Income to Poverty Ratio Under .50,People with Income to Poverty .50 to .99,People with Income to Poverty 1.00 to 1.24,People with Income to Poverty 1.25 to 1.49,People with Income to Poverty 1.50 to 1.84,People with Income to Poverty 1.85 to 1.99,People with Income to Poverty 2.00 and over,Families for whom poverty status is determined,Families with income in the past 12 months below poverty level,Married-couple family with related children of the householder under 18 years below poverty,Married-couple family without related children of the householder under 18 years below poverty,Single parents with related children of the householder under 18 years below poverty,Other family below poverty,Population 20 to 64 years for whom poverty status is determined,Population 20 to 64 years below poverty,Population 20 to 64 years below poverty employed,Population 20 to 64 years employed,Neighborhood Subtype,Council District Type,Urban Center Village Type,"Earnings $50,000 or More Male Workers","Earnings $50,000 or More Female Workers",Population 16 years and over with earnings,Males 16 years and over with earnings,Females 16 years and over with earnings,Shape__Area,Shape__Length
455,530330075021,19.86850821,0,7502,1,7502.1,Block Group 1,75.02,3,414,First Hill/Capitol Hill,5Y23,1224,0,87,28,32.8,689,535,715,0,0,0,0,0,459,50,509,850,152,698,558,0,828,1042,559,209,225,307,49,159,127,95,53,0,850,28,0,520,302,0,144,458,248,0,0,0,1137,175,1224,0,1224,30,0,0,0,0,0,0,124,726,250,118,49,1002,1224,384,124,1100,2186,-,107886,125878,125744,-,497,152,345,-,94800,0,564,158,320,0,0,95,28,1109,0,1137,28,1109,67,1224,28,69,0,0,0,77,1050,152,0,0,0,0,0,1109,69,69,1042,Urban Center,CD,UCUV,458,169,1109,689,420,865441.192108154,3737.07609440945
456,530330077002,57.51575441,0,7700,2,7700.2,Block Group 2,77,3,0,Outside Villages,5Y23,1180,42,110,332,49.8,617,563,816,110,0,124,0,0,113,17,364,502,305,197,73,12,629,693,211,300,89,0,18,244,129,58,12,21,568,384,178,6,0,40,40,41,174,165,62,20,1017,41,1127,11,1138,64,1,0,0,0,0,0,415,87,36,158,10,1025,1124,753,951,173,3013,3677,109833,190667,154441,107050,415,255,160,175903,250000+,111250,410,77,131,36,39,66,197,738,56,1070,352,718,25,1127,0,21,20,2,27,0,1057,305,0,0,0,0,0,732,20,0,603,Outside Villages,CD,UCUV,288,246,738,420,318,2505278.22091675,7104.93761815015
457,530330085001,38.4780145,0,8500,1,8500.1,Block Group 1,85,3,414,First Hill/Capitol Hill,5Y23,1282,0,0,431,49.3,690,592,1074,14,18,83,0,0,41,52,208,828,99,729,561,40,673,525,89,192,143,340,34,195,121,43,43,0,905,0,0,336,569,18,219,250,256,70,0,33,1107,304,1107,56,1282,181,40,14,14,0,0,0,87,741,293,17,17,1070,1107,203,136,971,1730,-,82394,80132,69012,57898,321,87,234,-,69763,44940,378,58,52,0,51,0,305,851,175,1282,684,598,59,1107,143,103,25,0,21,0,815,99,0,0,0,0,0,715,167,34,525,Urban Center,CD,UCUV,224,106,733,488,245,1676051.98623657,6348.10302191323
458,530330087003,55.60908929,0,8700,3,8700.3,Block Group 3,87,3,109,23rd & Union-Jackson,5Y23,2108,134,191,221,32.5,1221,887,868,328,0,584,0,0,104,224,1240,924,252,672,316,69,1016,1610,258,908,53,202,261,762,284,45,0,0,1026,269,309,350,98,151,15,279,319,243,19,49,1917,124,2105,274,1974,485,153,109,0,0,65,44,405,519,154,327,109,1843,2105,823,1027,1078,2039,4001,78810,153000,84479,96047,566,164,402,208796,121615,72188,1065,231,121,60,148,135,216,1696,3,1917,292,1625,0,2050,45,139,199,18,29,9,1611,252,13,0,13,0,0,1696,74,15,1585,Residential Urban Village,CD,UCUV,783,578,1699,993,706,2422233.49172974,6503.97082399411
459,530330093003,1595.35212766,62.93872912,9300,3,9300.3,Block Group 3,93,2,0,Outside Villages,5Y23,972,0,96,237,51.2,576,396,302,0,36,389,0,0,127,118,670,405,263,142,100,90,462,573,302,155,63,25,36,74,93,33,35,0,437,332,29,76,0,0,13,6,151,80,121,34,876,107,972,27,972,361,258,59,14,0,45,0,268,137,78,160,41,840,972,781,710,262,2210,3266,73032,139861,137639,111250,219,173,46,139583,-,87778,409,78,15,14,57,45,188,639,0,903,300,603,30,972,27,13,0,61,43,14,814,263,0,0,0,0,0,629,27,14,466,Outside Villages,CD,UCUV,219,195,656,392,264,69631977.3483582,44645.4561917474
460,530330095003,167.41439025,685.16515345,9500,3,9500.3,Block Group 3,95,2,0,Outside Villages,5Y23,1311,14,122,374,54.1,753,558,1019,0,0,104,0,40,41,107,292,587,419,168,121,0,881,764,124,465,119,24,150,317,123,33,17,0,626,555,26,45,0,0,0,45,35,266,178,63,1189,80,1311,17,1297,163,0,0,0,0,0,0,542,45,45,271,93,1083,1311,1074,1266,45,-,4001,101791,201250,122283,85682,373,321,52,221953,64938,80293,446,138,188,17,0,98,246,815,0,1201,376,825,36,1311,0,0,0,60,41,0,1210,419,0,0,0,0,0,765,0,0,609,Outside Villages,CD,UCUV,399,199,914,534,380,6768515.56735229,22395.0916234763
461,530330097024,118.43340862,0,9702,4,9702.4,Block Group 4,97.02,1,0,Outside Villages,5Y23,1793,88,553,201,38.8,1022,771,1455,0,0,50,0,0,131,157,338,580,437,143,72,0,778,972,281,503,71,16,170,152,153,172,44,0,580,580,0,0,0,0,0,0,54,276,232,18,1240,79,1793,25,1705,142,33,0,0,0,0,0,434,146,66,367,30,1045,1787,1479,1332,455,3375,3278,77243,202708,126382,153500,452,355,74,209375,123068,76875,677,66,152,25,53,282,130,1039,6,1336,363,973,0,1793,90,49,0,46,0,59,1549,437,23,0,0,0,23,1030,116,91,905,Outside Villages,CD,UCUV,417,290,1029,653,376,5158824.03567505,13135.6580567294
462,530330103012,90.35383568,0,10301,2,10301.2,Block Group 2,103.01,2,0,Outside Villages,5Y23,2086,271,581,138,38.2,1227,859,725,785,0,406,0,0,13,157,1361,766,594,172,154,126,913,974,376,523,64,73,49,158,264,106,21,0,766,690,62,14,0,56,0,196,192,256,109,13,1505,99,2086,111,1815,340,176,37,0,0,37,0,407,359,196,295,81,1494,2079,1892,1053,1026,2716,3243,56853,-,-,169712,392,323,69,-,-,97754,576,246,124,13,42,315,95,1367,7,1523,522,1001,0,2086,365,184,0,55,17,0,1465,594,99,23,0,76,0,1356,203,59,961,Outside Villages,CD,UCUV,425,405,1014,546,468,3935727.92352295,9354.45283034042
463,530330104021,154.68648626,0,10402,1,10402.1,Block Group 1,104.02,2,0,Outside Villages,5Y23,994,57,140,176,38.7,482,512,303,42,0,488,0,0,61,100,691,337,257,80,44,84,336,565,151,280,51,21,69,115,113,94,9,14,419,378,33,0,0,28,0,6,94,70,133,34,854,45,994,37,937,420,193,26,0,0,26,0,282,55,18,202,102,742,988,849,842,146,1697,2864,54918,132179,108611,77457,217,163,39,131964,94688,70694,311,97,113,6,53,91,126,678,6,854,268,586,6,994,9,24,53,2,20,0,886,257,0,0,0,0,0,648,15,0,520,Outside Villages,CD,UCUV,190,202,632,271,361,6737985.23106384,14029.5538644493
464,530330104022,116.96757949,0,10402,2,10402.2,Block Group 2,104.02,2,0,Outside Villages,5Y23,1258,94,165,318,45.5,623,635,155,137,0,835,0,0,46,85,1103,509,254,255,155,178,376,694,59,511,74,1,77,205,274,44,35,0,509,509,0,0,0,31,0,0,194,170,135,10,1084,50,1258,30,1164,565,286,115,0,0,115,0,311,198,26,156,30,989,1249,824,859,390,2160,2425,47933,94479,81250,63112,175,85,90,93333,95764,60656,303,120,153,60,91,98,174,775,9,1101,359,742,15,1249,11,60,28,21,147,0,982,254,13,0,7,6,0,759,17,6,687,Outside Villages,CD,UCUV,260,193,747,385,362,5094984.50091553,10335.5583749939
465,530330105013,49.33582497,0,10501,3,10501.3,Block Group 3,105.01,1,205,West Seattle Junction,5Y23,1174,98,146,37,29.5,591,583,653,0,0,38,33,0,135,315,521,702,235,467,366,0,628,854,124,315,189,54,64,153,195,318,0,0,757,0,117,113,527,33,80,478,128,16,0,0,1011,53,1157,0,1076,257,51,0,0,0,0,0,59,643,157,59,0,934,1174,599,161,1013,1994,3079,80028,115494,116310,79044,409,175,218,139261,89631,87738,607,84,100,0,62,135,37,991,0,1028,110,901,48,1174,30,0,40,0,0,0,1104,235,0,0,0,0,0,991,30,30,853,Hub Urban Village,CD,UCUV,379,310,918,514,404,2148994.15827942,7181.62808704141
466,530330108003,146.85621093,0,10800,3,10800.3,Block Group 3,108,1,0,Outside Villages,5Y23,1784,104,402,111,37.5,910,874,790,236,0,365,0,0,285,108,994,649,387,262,127,75,765,1192,267,664,111,17,172,213,407,93,40,0,649,479,170,0,0,13,0,9,168,272,116,84,1380,122,1782,60,1680,397,134,0,0,0,0,0,512,137,35,453,82,1314,1782,1292,1499,283,2197,2748,85327,173550,110417,96080,522,358,164,180809,130556,95093,871,163,104,23,31,200,98,1271,2,1425,192,1233,41,1782,40,21,0,13,19,9,1680,387,9,0,0,9,0,1234,19,0,1137,Outside Villages,CD,UCUV,512,431,1222,637,585,6396909.94485474,13209.7634256337
467,530330110023,73.18025876,0,11002,3,11002.3,Block Group 3,110.02,2,123,Othello,5Y23,1910,88,701,133,21.4,974,936,265,1257,0,325,19,0,28,16,1645,443,401,42,27,198,203,695,106,315,146,61,111,113,199,22,144,0,468,146,240,37,45,87,0,0,73,205,86,79,1209,82,1910,102,1822,1381,705,73,0,0,73,0,144,299,144,90,28,854,1910,1853,370,1540,1224,1955,20557,65082,71818,31889,102,87,15,59732,-,26903,280,114,128,68,108,230,101,1076,0,1348,629,719,21,1910,0,669,326,180,232,0,503,401,91,49,0,0,42,929,302,54,589,Residential Urban Village,CD,UCUV,136,62,870,341,529,3187666.38224792,8017.2541327322
468,530330111013,78.32326307,0,11101,3,11101.3,Block Group 3,111.01,2,123,Othello,5Y23,1587,97,264,193,34.8,1000,587,315,464,0,278,0,0,71,459,1272,458,337,121,17,193,337,846,130,436,67,0,40,316,331,15,14,0,602,378,78,146,0,89,0,89,171,112,27,59,1323,242,1587,396,1490,814,485,103,89,0,14,0,255,203,57,148,26,1147,1574,1332,755,819,1305,2450,51230,106587,44798,61071,286,234,52,106925,-,44646,283,341,128,109,0,130,160,1130,13,1323,462,861,0,1565,58,0,13,21,0,0,1473,337,0,0,0,0,0,1130,58,27,826,Residential Urban Village,CD,UCUV,192,127,892,616,276,3411702.30010986,10425.4370564162
469,530330111022,70.53054776,0,11102,2,11102.2,Block Group 2,111.02,2,0,Outside Villages,5Y23,1598,144,482,153,37,1012,586,734,151,0,367,0,0,47,299,864,549,438,111,101,11,492,840,235,474,11,58,42,124,428,11,0,0,557,388,100,48,21,75,0,61,102,290,78,18,1116,101,1598,412,1454,546,407,91,61,0,30,0,308,241,200,296,53,1093,1598,1477,993,605,-,3180,42484,-,75295,87404,290,272,10,163250,58856,57798,252,130,208,156,94,321,95,963,0,1116,258,858,18,1598,175,10,0,0,24,228,1161,438,48,48,0,0,0,949,92,0,786,Outside Villages,CD,UCUV,321,169,881,538,343,3072261.44859314,7482.12563092852
470,530330113003,68.4570865,0,11300,3,11300.3,Block Group 3,113,1,0,Outside Villages,5Y23,1549,81,190,146,37.6,822,727,420,358,17,171,14,0,305,264,1129,594,315,279,190,81,524,800,135,583,32,0,194,289,71,111,0,0,594,560,0,17,17,0,17,17,253,221,61,25,1359,262,1549,31,1468,318,65,16,16,0,0,0,409,185,85,345,17,1208,1532,1099,1033,499,2600,2831,69826,185694,157470,100859,419,219,200,187846,185565,92500,484,61,31,74,168,167,117,1213,17,1403,562,841,23,1549,17,77,22,164,34,0,1235,315,9,0,0,9,0,1147,86,0,818,Outside Villages,CD,UCUV,487,189,906,637,269,2981964.53695679,7450.29856109245
471,530330116012,196.61087951,45.67619426,11601,2,11601.2,Block Group 2,116.01,1,0,Outside Villages,5Y23,1437,93,283,330,42.9,658,779,985,29,0,185,0,0,157,81,452,596,403,193,152,14,791,829,285,434,67,9,77,162,113,150,28,14,638,476,104,23,35,8,6,9,145,252,166,18,1154,149,1437,32,1344,254,82,14,0,0,14,0,434,162,31,327,58,1121,1393,1145,1101,292,1803,3405,95399,162778,141875,114286,434,336,98,222721,120114,108359,659,90,72,8,0,172,218,824,44,1168,314,854,25,1431,29,37,38,0,20,0,1307,403,8,0,8,0,0,799,50,13,708,Outside Villages,CD,UCUV,312,274,881,387,494,8542443.45219421,16459.1236408129
472,530330118013,111.56412611,0,11801,3,11801.3,Block Group 3,118.01,2,204,Rainier Beach,5Y23,900,87,256,128,29.2,392,508,100,103,0,275,0,0,2,420,800,327,214,113,100,173,130,505,79,201,81,15,0,79,239,35,73,0,387,62,36,289,0,67,66,91,122,6,37,5,644,12,900,97,813,628,297,16,0,0,16,0,75,252,109,38,0,525,888,762,220,668,1250,2150,30762,69712,49345,40000,95,82,13,90976,54583,44323,139,171,79,0,116,121,112,516,12,668,156,512,7,898,20,47,173,0,0,34,624,214,15,0,0,15,0,499,38,15,386,Residential Urban Village,CD,UCUV,161,11,529,297,232,4859674.70237732,10450.208156718
473,530330121002,216.11243623,49.98422949,12100,2,12100.2,Block Group 2,121,1,0,Outside Villages,5Y23,1521,63,388,282,41.4,745,776,1205,9,0,66,0,0,70,171,316,591,440,151,100,7,728,689,286,332,10,0,92,120,126,47,8,10,644,581,19,44,0,7,0,35,64,301,146,45,1131,167,1519,20,1458,85,25,0,0,0,0,0,510,81,43,327,61,1108,1517,1311,1361,156,2229,3592,69708,172264,161250,104306,431,383,48,204167,42868,104323,544,56,130,0,13,219,187,851,4,1141,381,760,17,1519,93,0,16,3,0,11,1396,440,8,8,0,0,0,835,71,0,691,Outside Villages,CD,UCUV,304,285,793,379,414,9236781.02816772,14447.9708854378
474,530330074042,20.27722051,0,7404,2,7404.2,Block Group 2,74.04,3,414,First Hill/Capitol Hill,5Y23,1168,0,0,29,32.8,679,489,927,0,0,111,0,0,89,41,241,911,85,826,665,26,867,1053,281,397,194,230,66,319,154,220,13,0,911,15,0,835,61,0,271,485,143,12,0,0,1168,87,1168,39,1168,116,14,0,0,0,0,0,94,817,342,71,10,1130,1168,170,149,1019,1936,2729,91095,104549,118565,82000,502,65,437,220268,102986,81014,830,70,94,20,51,0,29,1139,0,1168,61,1107,42,1168,49,61,19,0,18,30,991,85,0,0,0,0,0,1139,110,51,1053,Urban Center,CD,UCUV,499,360,1117,661,456,883215.032226563,5158.95197256058
475,530330080033,18.00879311,0,8003,3,8003.3,Block Group 3,80.03,7,413,Downtown,5Y23,1095,0,0,127,36.3,710,385,525,62,0,280,0,0,67,161,570,845,237,608,608,20,676,866,297,238,68,340,82,198,229,0,60,0,913,17,0,282,614,0,499,201,107,38,0,0,1095,75,1095,95,1095,406,57,57,0,0,57,0,296,549,323,262,56,1042,1095,487,505,590,1731,3230,112300,101075,149596,143088,447,223,224,250000+,56579,102127,740,18,48,22,38,0,104,968,0,1095,209,886,20,1095,26,40,20,25,20,48,916,237,0,0,0,0,0,968,20,20,820,Urban Center,CD,UCUV,476,225,933,569,364,784427.375274658,4568.39258736628
476,530330091001,74.26603981,0,9100,1,9100.1,Block Group 1,91,2,413,Downtown,5Y23,1107,28,107,401,43.1,598,509,225,85,0,676,0,35,45,41,882,684,253,431,380,314,483,500,182,88,145,444,99,76,62,81,0,0,776,0,14,205,557,31,128,427,103,4,0,22,980,279,1087,50,1079,700,467,221,0,14,207,0,41,643,468,41,15,1000,1087,594,92,995,1192,3304,33626,31452,76771,61161,82,43,39,32946,31250,37238,328,150,63,0,32,69,259,599,20,1000,391,609,36,1087,42,175,297,97,104,0,372,253,82,0,82,0,0,599,42,42,551,Urban Center,CD,UCUV,119,112,573,311,262,3234873.61233521,8656.40577591047
477,530330092002,50.65783876,38.26772782,9200,2,9200.2,Block Group 2,92,1,413,Downtown,5Y23,1149,19,19,116,36,726,423,764,94,11,72,7,0,79,122,385,533,32,501,388,78,410,600,63,92,298,420,157,155,130,0,63,32,661,0,0,299,362,20,173,311,49,0,0,0,1081,364,1100,181,1130,192,80,14,0,0,14,0,27,506,241,27,0,1044,691,72,34,657,1609,-,61113,93365,-,-,191,7,184,-,95039,33750,233,187,83,0,48,0,71,1014,458,1130,398,683,132,1130,220,154,121,40,34,8,553,32,0,0,0,0,0,1014,337,143,508,Urban Center,CD,UCUV,181,126,840,538,302,2019745.89962769,9316.94832014431
478,530330104013,130.53267652,0,10401,3,10401.3,Block Group 3,104.01,2,0,Outside Villages,5Y23,1220,76,220,221,41,599,621,196,36,0,785,0,0,146,57,1024,378,328,50,50,182,326,575,74,307,67,9,75,223,161,36,6,0,410,349,61,0,0,19,0,8,69,85,152,64,1000,123,1220,72,1144,733,405,78,8,0,70,0,259,119,16,223,62,903,1220,1170,956,264,2788,2872,39010,119063,74306,57604,194,155,13,86600,-,48620,198,215,71,0,91,161,126,779,0,1023,433,590,15,1220,73,43,0,23,214,21,846,328,55,6,49,0,0,759,55,0,537,Outside Villages,CD,UCUV,178,104,617,301,316,5685865.62368774,10855.279695547
479,530330002012,120.68107917,0,201,2,201.2,Block Group 2,2.01,5,0,Outside Villages,5Y23,1572,0,229,309,46.5,893,679,960,35,0,426,0,0,49,102,612,849,393,456,361,39,892,871,413,298,112,113,51,312,61,34,0,0,937,420,64,180,273,0,20,339,196,69,96,129,1339,236,1568,109,1572,660,34,10,5,5,0,0,455,394,286,292,33,1301,1545,997,970,575,1578,4001,121031,78487,191764,71434,323,298,25,218628,39464,88352,754,36,173,0,0,148,217,1034,27,1403,422,981,18,1568,50,141,44,0,92,22,1219,393,5,0,5,0,0,1033,124,70,927,Outside Villages,CD,UCUV,391,314,981,550,431,5256481.57144165,13259.4588848885
480,530330003001,194.81442339,0,300,1,300.1,Block Group 1,3,5,0,Outside Villages,5Y23,1202,72,262,167,40.8,655,547,834,2,0,245,0,14,31,76,368,529,308,221,159,90,615,724,182,365,63,45,116,168,123,86,39,10,552,538,14,0,0,0,0,15,62,306,128,18,940,116,1202,24,1130,276,97,38,0,0,38,0,460,69,37,364,69,931,1195,887,1022,173,2644,2681,90409,163472,116696,105106,391,295,89,214231,86719,99963,435,71,102,19,97,135,151,773,7,945,180,765,41,1202,62,2,0,30,26,0,1082,308,0,0,0,0,0,773,63,32,626,Outside Villages,CD,UCUV,325,272,787,441,346,8485495.44009399,12732.4263709917
481,530330003002,104.43340612,0,300,2,300.2,Block Group 2,3,5,114,Bitter Lake Village,5Y23,1617,88,318,149,37.3,889,728,1062,100,0,310,1,0,144,0,555,693,394,299,217,51,729,913,271,560,48,65,162,284,142,40,12,2,693,475,179,39,0,47,35,0,189,420,29,20,1292,67,1610,32,1529,410,65,8,0,0,8,0,561,132,41,448,115,1142,1606,1181,1323,283,2560,2548,65017,119375,116206,93036,422,242,180,119750,116750,89222,602,54,166,83,62,219,113,1150,11,1362,355,1007,40,1610,69,30,21,0,30,0,1460,394,10,10,0,0,0,1123,63,28,910,Hub Urban Village,CD,UCUV,356,388,1031,551,480,4548780.12249756,8643.38214924208
482,530330004021,79.41077386,0,402,1,402.1,Block Group 1,4.02,5,0,Outside Villages,5Y23,1543,55,118,426,54.8,520,1023,1015,61,0,145,13,0,108,201,528,909,251,658,630,37,451,907,0,556,122,160,396,259,172,12,48,20,909,244,15,565,85,16,120,545,30,140,62,12,1272,461,1390,137,1488,300,12,0,0,0,0,0,203,706,179,172,82,1343,1383,699,464,919,1732,3202,72082,88418,55833,84938,263,147,116,-,87800,74300,267,101,346,71,170,105,242,999,160,1425,443,982,27,1390,50,0,32,75,14,0,1219,251,0,0,0,0,0,989,3,0,902,Outside Villages,CD,UCUV,202,457,978,358,620,3458893.39450073,9197.17017229157
483,530330004031,100.56052347,0,403,1,403.1,Block Group 1,4.03,5,0,Outside Villages,5Y23,1707,157,375,160,34.6,939,768,1074,52,0,207,0,53,261,60,633,669,365,304,162,14,776,924,114,588,113,15,89,251,262,83,105,20,669,267,38,255,109,0,0,107,321,171,58,12,1288,132,1663,84,1550,300,73,29,0,0,29,0,362,307,178,252,124,1268,1636,1144,964,672,2059,3554,57988,89438,100096,81518,293,209,84,-,82024,46154,423,135,128,33,205,235,101,1172,71,1351,411,940,16,1663,55,42,0,38,166,16,1346,365,0,0,0,0,0,1151,83,28,845,Outside Villages,CD,UCUV,281,203,982,516,466,4380109.34896851,9265.56704512042
484,530330006022,196.77767565,13.63799312,602,2,602.2,Block Group 2,6.02,5,114,Bitter Lake Village,5Y23,1228,164,364,202,40.5,579,649,568,10,29,132,0,0,96,393,660,390,346,44,24,81,369,604,183,302,19,0,84,219,94,0,24,0,399,243,30,0,0,41,0,74,101,112,64,39,864,169,1228,118,1064,386,134,0,0,0,0,0,390,0,0,203,63,823,1226,1164,1226,0,-,2786,51898,123393,119375,90000,224,214,10,124464,79500,48789,321,72,98,61,71,183,139,662,2,864,241,623,0,1228,19,185,0,0,24,0,1000,346,41,41,0,0,0,639,87,87,576,Hub Urban Village,CD,UCUV,150,162,655,339,316,9165081.53164673,14317.2982714083
485,530330008002,161.6491746,0,800,2,800.2,Block Group 2,8,5,0,Outside Villages,5Y23,1538,50,262,291,41.2,633,905,1322,2,0,90,0,0,50,74,216,620,396,224,99,7,935,937,280,356,153,18,119,163,256,21,52,46,653,614,7,0,32,4,1,4,82,349,102,82,1232,81,1494,41,1488,289,60,15,1,0,14,0,523,97,50,381,128,1168,1482,1087,1251,231,2500,3091,70105,137857,137977,68750,433,313,120,143636,128000,66815,656,92,154,10,37,151,193,985,56,1282,317,965,16,1494,12,44,15,23,40,0,1360,396,0,0,0,0,0,899,37,35,810,Outside Villages,CD,UCUV,320,350,1033,440,593,7040961.73403931,10747.9015256339
486,530330010001,91.73787292,0,1000,1,1000.1,Block Group 1,10,5,0,Outside Villages,5Y23,983,27,246,137,40.6,466,517,648,78,0,79,0,7,91,80,335,345,239,106,46,34,405,463,81,229,50,31,78,124,139,38,3,0,358,257,22,75,4,15,0,31,77,124,68,45,737,82,983,17,956,178,81,20,0,0,12,8,216,129,66,147,42,632,976,785,617,359,1898,2819,53550,118438,81250,89792,192,156,32,137083,63889,51848,283,41,70,11,58,160,95,600,7,764,274,490,27,979,82,43,43,0,44,30,737,239,28,7,0,21,0,580,69,28,409,Outside Villages,CD,UCUV,156,135,548,296,252,3995824.24261475,8826.43596196294
487,530330011001,126.76530787,0,1100,1,1100.1,Block Group 1,11,5,0,Outside Villages,5Y23,1451,14,243,231,45.4,795,656,875,0,0,398,43,0,52,83,576,645,403,242,206,0,822,788,164,432,79,44,169,279,111,31,0,34,676,553,45,78,0,23,34,33,153,202,123,100,1188,189,1431,79,1437,378,159,46,0,0,46,0,405,240,140,350,73,1122,1425,1127,1041,384,2443,3312,72096,139132,114550,83538,418,309,109,139965,-,77000,507,51,124,52,69,137,131,977,26,1250,360,870,67,1442,39,32,11,39,3,0,1318,403,12,0,0,9,3,955,53,20,781,Outside Villages,CD,UCUV,340,240,936,539,397,5521546.6390686,11616.6482385113
488,530330012022,60.77458019,0,1202,2,1202.2,Block Group 2,12.02,5,301,Northgate,5Y23,986,46,117,64,39.7,579,407,544,79,0,242,0,25,18,78,442,417,236,181,144,93,425,576,141,306,123,53,38,189,140,68,0,0,417,198,19,117,83,0,0,39,219,73,70,16,869,137,986,34,940,272,139,45,20,0,25,0,142,275,103,75,0,766,986,724,361,625,2174,3019,53059,108221,107250,79342,261,187,74,122353,-,75598,326,130,59,14,47,109,49,805,0,869,214,655,79,986,54,19,35,0,30,0,848,236,0,0,0,0,0,766,73,0,558,Urban Center,CD,UCUV,196,225,655,362,293,2647159.35702515,9312.53638599798
489,530330022001,152.24360246,0,2200,1,2200.1,Block Group 1,22,5,0,Outside Villages,5Y23,2294,135,589,301,35.5,1385,909,1606,91,0,406,0,0,141,50,688,725,597,128,57,18,1319,1272,564,557,84,0,66,261,268,103,10,0,725,705,0,20,0,0,0,20,6,267,246,186,1705,174,2294,80,2159,483,133,24,0,0,24,0,538,187,27,416,55,1618,2278,1916,1563,715,2948,4001,85346,217813,140330,103309,623,552,71,219063,-,101822,1005,27,207,34,18,404,180,1404,16,1805,462,1343,52,2294,0,59,8,15,15,0,2197,597,0,0,0,0,0,1317,57,55,1139,Outside Villages,CD,UCUV,743,383,1383,921,462,6631301.9887085,11762.5654115422
490,530330028001,65.24619917,0,2800,1,2800.1,Block Group 1,28,6,0,Outside Villages,5Y23,1248,75,210,185,43.7,618,630,899,0,0,119,4,0,148,78,349,563,255,308,211,20,623,845,263,468,24,0,68,242,242,30,0,0,602,516,86,0,0,0,0,0,237,212,75,39,1038,105,1248,4,1173,79,0,0,0,0,0,0,468,95,71,323,42,969,1218,745,1007,211,2147,3357,81295,121797,132292,97300,379,255,124,240417,-,90769,638,50,154,24,4,124,175,853,30,1052,163,889,19,1248,13,65,0,35,18,0,1117,255,0,0,0,0,0,853,73,57,810,Outside Villages,CD,UCUV,303,296,902,423,479,2841958.43188477,7475.1652615238
